firm_id,name,liner,special,tramper,tanker,D/W,Source,group,富士,興銀,長銀,安田,第一,三井,三井信託,住友,住友信託,三菱,勧銀,三菱信託,神戸,大和,三和,東海,安田信託,その他,firm_type
80,双葉海運,0,5738,0,49251,NA,NA,Yamashita-Shinnihon Kisen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
81,三菱鉱石輸送,0,86476,0,0,NA,NA,unmatched,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,unmatched
82,日の丸汽船,0,0,23304,0,NA,NA,Nippon Yusen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
83,東京郵船,0,0,13607,0,NA,NA,Nippon Yusen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
84,山本汽船,0,0,479,0,NA,NA,Nippon Yusen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
85,八千代汽船,0,0,31497,4817,NA,NA,Nippon Yusen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
86,万野汽船,0,0,3739,0,NA,NA,Nippon Yusen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
87,名村汽船,0,0,22599,0,NA,NA,Mitsui O.S.K. Lines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
88,日下部汽船,0,0,15763,0,NA,NA,Mitsui O.S.K. Lines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
89,東西汽船,0,0,3765,0,NA,NA,Mitsui O.S.K. Lines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
90,小谷汽船,0,0,9536,503,NA,NA,Mitsui O.S.K. Lines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
91,近海商船,0,0,7454,0,NA,NA,Mitsui O.S.K. Lines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single-relationship
